objid,k,thresh,p,r,j,fpr,fnr
33,500,0.2,0.38544793621013135,0.99696703163386,0.3849964862965566,19.20102290171424,0.30329683661399415
33,500,0.5,0.817351598173516,0.02171605350156198,0.02161117986176089,0.0586190094120147,97.8283946498438
33,500,0.8,0.8928571428571429,0.015923083922234692,0.01589271659502331,0.023081234955980787,98.40769160777653
34,100,0.2,0.9377318320493404,0.9484948050794778,0.8922954825504897,1.0848284617384787,5.150519492052216
34,100,0.5,0.9539983288543619,0.9378385578545422,0.8972621652046473,0.7789198366447943,6.2161442145457775
34,100,0.8,0.966894414312883,0.9142394103543202,0.8864898609377018,0.539163951727619,8.576058964567979
34,500,0.2,0.9377318320493404,0.9484948050794778,0.8922954825504897,1.0848284617384787,5.150519492052216
34,500,0.5,0.9539983288543619,0.9378385578545422,0.8972621652046473,0.7789198366447943,6.2161442145457775
34,500,0.8,0.966894414312883,0.9142394103543202,0.8864898609377018,0.539163951727619,8.576058964567979
36,100,0.2,0.905163262023484,0.9223733814128832,0.8410904851582818,1.067903135244788,7.762661858711686
36,100,0.5,0.9761236467028761,0.8778233076544829,0.8593709884467265,0.2372715582039811,12.217669234551714
36,100,0.8,0.9862264150943396,0.8567447959350926,0.8466148364107547,0.13222002861748566,14.325520406490739
36,500,0.2,0.905163262023484,0.9223733814128832,0.8410904851582818,1.067903135244788,7.762661858711686
36,500,0.5,0.9761236467028761,0.8778233076544829,0.8593709884467265,0.2372715582039811,12.217669234551714
36,500,0.8,0.9862264150943396,0.8567447959350926,0.8466148364107547,0.13222002861748566,14.325520406490739
37,100,0.2,0.8127760788311247,0.9472016895459345,0.7775490302307942,0.6236229740741859,5.279831045406547
37,100,0.5,0.9272203947368421,0.8929514255543822,0.8344640434192673,0.20032897715268763,10.704857444561775
37,100,0.8,0.9611872146118722,0.7779831045406547,0.7542871768620425,0.08978963571062083,22.20168954593453
37,500,0.2,0.8127760788311247,0.9472016895459345,0.7775490302307942,0.6236229740741859,5.279831045406547
37,500,0.5,0.9272203947368421,0.8929514255543822,0.8344640434192673,0.20032897715268763,10.704857444561775
37,500,0.8,0.9611872146118722,0.7779831045406547,0.7542871768620425,0.08978963571062083,22.20168954593453
38,100,0.2,0.9650358706068219,0.9931764266865688,0.9586795996603803,0.5741675633604538,0.6823573313431245
38,100,0.5,0.9804483353229871,0.9851000879601247,0.9661211899409212,0.31345295866418854,1.4899912039875258
38,100,0.8,0.9842674268502581,0.9755310925713676,0.9605532517978059,0.24880594412286333,2.446890742863235
38,500,0.2,0.9650358706068219,0.9931764266865688,0.9586795996603803,0.5741675633604538,0.6823573313431245
38,500,0.5,0.9804483353229871,0.9851000879601247,0.9661211899409212,0.31345295866418854,1.4899912039875258
38,500,0.8,0.9842674268502581,0.9755310925713676,0.9605532517978059,0.24880594412286333,2.446890742863235
39,100,0.2,0.9372896209691876,0.9951362381974476,0.9330154450106073,3.5363888062090383,0.4863761802552417
39,100,0.5,0.9619084343376445,0.9759032322869197,0.939591986318104,2.052644288819126,2.4096767713080345
39,100,0.8,0.9883543789566336,0.9260708206012033,0.9160748465102657,0.5795701521371649,7.392917939879674
39,500,0.2,0.9372896209691876,0.9951362381974476,0.9330154450106073,3.5363888062090383,0.4863761802552417
39,500,0.5,0.9619084343376445,0.9759032322869197,0.939591986318104,2.052644288819126,2.4096767713080345
39,500,0.8,0.9883543789566336,0.9260708206012033,0.9160748465102657,0.5795701521371649,7.392917939879674
