,num_workers,actualNworkers,sample_num,objid,clust,P [MV],R [MV],J [MV],FPR% [MV],FNR% [MV],P [basic],R [basic],J [basic],FPR% [basic],FNR% [basic],P [GT],R [GT],J [GT],FPR% [GT],FNR% [GT],P [isoGT],R [isoGT],J [isoGT],FPR% [isoGT],FNR% [isoGT],P [GTLSA],R [GTLSA],J [GTLSA],FPR% [GTLSA],FNR% [GTLSA],P [isoGTLSA],R [isoGTLSA],J [isoGTLSA],FPR% [isoGTLSA],FNR% [isoGTLSA],P [isobasic],R [isobasic],J [isobasic],FPR% [isobasic],FNR% [isobasic]
136,10.0,10.0,2.0,14.0,-1.0,0.959470107357,0.980770198842,0.941753673627,0.286425252754,1.92298011578,0.959470107357,0.980770198842,0.941753673627,0.286425252754,1.92298011578,0.959470107357,0.980770198842,0.941753673627,0.286425252754,1.92298011578,0.959470107357,0.980770198842,0.941753673627,0.286425252754,1.92298011578,0.959765586526,0.981072237604,0.94231699062,0.284337097813,1.89277623962,0.959765586526,0.981072237604,0.94231699062,0.284337097813,1.89277623962,0.960049261084,0.981072237604,0.942590443026,0.282248942872,1.89277623962
137,10.0,9.0,2.0,15.0,0.0,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.741228070175,0.998031496063,0.740145985401,0.0577126237398,0.196850393701,0.739766081871,0.996062992126,0.737609329446,0.0580386837609,0.393700787402
138,10.0,10.0,2.0,16.0,-1.0,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.961636017755,0.975711758083,0.939154667905,0.0804032121415,2.42882419173,0.954718176061,0.969921183851,0.927264339536,0.0950219779855,3.00788161493
139,10.0,10.0,2.0,17.0,-1.0,0.907839866555,0.935539321014,0.854395604396,0.119347853089,6.44606789858,0.907839866555,0.935539321014,0.854395604396,0.119347853089,6.44606789858,0.907839866555,0.935539321014,0.854395604396,0.119347853089,6.44606789858,0.907839866555,0.935539321014,0.854395604396,0.119347853089,6.44606789858,0.907044601917,0.935109583154,0.853333333333,0.120427924157,6.48904168457,0.907044601917,0.935109583154,0.853333333333,0.120427924157,6.48904168457,0.90303786933,0.932531155995,0.84765625,0.125828279501,6.74688440052
140,10.0,9.0,2.0,18.0,0.0,0.993505763284,0.96631210522,0.960246725721,0.153052097344,3.368789478,0.993505763284,0.96631210522,0.960246725721,0.153052097344,3.368789478,0.993505763284,0.96631210522,0.960246725721,0.153052097344,3.368789478,0.993505763284,0.96631210522,0.960246725721,0.153052097344,3.368789478,0.991988080513,0.964890213557,0.957428912524,0.18883050971,3.51097864428,0.991988080513,0.964890213557,0.957428912524,0.18883050971,3.51097864428,0.99233327696,0.962675343852,0.955568221915,0.180217188214,3.73246561483
141,10.0,10.0,2.0,19.0,-1.0,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.963636363636,0.864776667347,0.837448153269,0.0876246597699,13.5223332653,0.962246986582,0.862941056496,0.834681396725,0.0909105845112,13.7058943504
142,10.0,4.0,2.0,20.0,1.0,0.986332574032,0.960334385396,0.947722872296,0.190181281773,3.96656146038,0.986332574032,0.960334385396,0.947722872296,0.190181281773,3.96656146038,0.986332574032,0.960334385396,0.947722872296,0.190181281773,3.96656146038,0.986332574032,0.960334385396,0.947722872296,0.190181281773,3.96656146038,0.983827257627,0.959993175808,0.945078938529,0.22553549441,4.00068241918,0.983827257627,0.959993175808,0.945078938529,0.22553549441,4.00068241918,0.985276718812,0.959012198243,0.945462955176,0.20481061114,4.09878017572
143,10.0,5.0,2.0,20.0,2.0,0.91327254306,0.961144758168,0.880755100446,1.30444853524,3.88552418323,0.91327254306,0.961144758168,0.880755100446,1.30444853524,3.88552418323,0.91327254306,0.961144758168,0.880755100446,1.30444853524,3.88552418323,0.91327254306,0.961144758168,0.880755100446,1.30444853524,3.88552418323,0.912565869477,0.960206431801,0.87931101824,1.31481097687,3.97935681993,0.912565869477,0.960206431801,0.87931101824,1.31481097687,3.97935681993,0.912565869477,0.960206431801,0.87931101824,1.31481097687,3.97935681993
144,10.0,9.0,2.0,21.0,0.0,0.982284505553,0.932948267202,0.917510496419,0.0365086803474,6.70517327976,0.982284505553,0.932948267202,0.917510496419,0.0365086803474,6.70517327976,0.982284505553,0.932948267202,0.917510496419,0.0365086803474,6.70517327976,0.982284505553,0.932948267202,0.917510496419,0.0365086803474,6.70517327976,0.982279820153,0.932697137117,0.917263521857,0.0365086803474,6.7302862883,0.982279820153,0.932697137117,0.917263521857,0.0365086803474,6.7302862883,0.982279820153,0.932697137117,0.917263521857,0.0365086803474,6.7302862883
145,10.0,10.0,2.0,22.0,0.0,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.869410929737,0.971451229183,0.847750865052,0.0987977813455,2.85487708168,0.868758915835,0.965900079302,0.842906574394,0.0987977813455,3.40999206979
146,10.0,10.0,2.0,23.0,-1.0,0.965217391304,0.960895522388,0.928736295441,0.147639047983,3.91044776119,0.965217391304,0.960895522388,0.928736295441,0.147639047983,3.91044776119,0.965217391304,0.960895522388,0.928736295441,0.147639047983,3.91044776119,0.965217391304,0.960895522388,0.928736295441,0.147639047983,3.91044776119,0.965531710826,0.961611940299,0.929696969697,0.146366297569,3.83880597015,0.965531710826,0.961611940299,0.929696969697,0.146366297569,3.83880597015,0.965819141281,0.961552238806,0.929907621247,0.145093547155,3.8447761194
