,Unnamed: 0,sample,num_workers,sample_num,objid,clust,actualNworkerInSample
1770,1770,5workers_rand9,5,9,1,0,5
1772,1772,5workers_rand9,5,9,4,0,5
1774,1774,5workers_rand9,5,9,7,0,5
1776,1776,5workers_rand9,5,9,8,0,4
1827,1827,5workers_rand9,5,9,10,0,4
1779,1779,5workers_rand9,5,9,15,0,4
1781,1781,5workers_rand9,5,9,18,0,4
1785,1785,5workers_rand9,5,9,20,2,3
1788,1788,5workers_rand9,5,9,21,0,5
1790,1790,5workers_rand9,5,9,22,0,5
1793,1793,5workers_rand9,5,9,25,1,3
1794,1794,5workers_rand9,5,9,26,0,5
1796,1796,5workers_rand9,5,9,27,0,5
1800,1800,5workers_rand9,5,9,28,0,5
1802,1802,5workers_rand9,5,9,29,0,3
1806,1806,5workers_rand9,5,9,30,1,5
1807,1807,5workers_rand9,5,9,31,0,4
1810,1810,5workers_rand9,5,9,32,0,5
1812,1812,5workers_rand9,5,9,33,0,3
1815,1815,5workers_rand9,5,9,34,1,5
1816,1816,5workers_rand9,5,9,37,0,3
1823,1823,5workers_rand9,5,9,40,0,4
1825,1825,5workers_rand9,5,9,41,0,4
1819,1819,5workers_rand9,5,9,42,1,3
1820,1820,5workers_rand9,5,9,47,0,3
0,0,10workers_rand0,10,0,1,0,10
3,3,10workers_rand0,10,0,4,0,10
4,4,10workers_rand0,10,0,7,0,9
6,6,10workers_rand0,10,0,8,0,7
57,57,10workers_rand0,10,0,10,0,10
9,9,10workers_rand0,10,0,15,0,10
11,11,10workers_rand0,10,0,18,0,10
16,16,10workers_rand0,10,0,20,3,4
18,18,10workers_rand0,10,0,21,0,10
20,20,10workers_rand0,10,0,22,0,10
22,22,10workers_rand0,10,0,25,0,6
24,24,10workers_rand0,10,0,26,0,9
26,26,10workers_rand0,10,0,27,0,10
30,30,10workers_rand0,10,0,28,0,10
32,32,10workers_rand0,10,0,29,0,5
36,36,10workers_rand0,10,0,30,1,10
37,37,10workers_rand0,10,0,31,0,8
40,40,10workers_rand0,10,0,32,0,7
42,42,10workers_rand0,10,0,33,0,8
45,45,10workers_rand0,10,0,34,1,9
47,47,10workers_rand0,10,0,37,1,6
53,53,10workers_rand0,10,0,40,0,9
55,55,10workers_rand0,10,0,41,0,5
48,48,10workers_rand0,10,0,42,0,5
51,51,10workers_rand0,10,0,47,1,5
59,59,10workers_rand1,10,1,1,0,9
61,61,10workers_rand1,10,1,4,0,10
63,63,10workers_rand1,10,1,7,0,8
65,65,10workers_rand1,10,1,8,0,8
116,116,10workers_rand1,10,1,10,0,10
68,68,10workers_rand1,10,1,15,0,9
70,70,10workers_rand1,10,1,18,0,9
73,73,10workers_rand1,10,1,20,1,4
77,77,10workers_rand1,10,1,21,0,9
79,79,10workers_rand1,10,1,22,0,8
81,81,10workers_rand1,10,1,25,0,8
83,83,10workers_rand1,10,1,26,0,9
85,85,10workers_rand1,10,1,27,0,8
89,89,10workers_rand1,10,1,28,0,9
91,91,10workers_rand1,10,1,29,0,4
95,95,10workers_rand1,10,1,30,1,9
96,96,10workers_rand1,10,1,31,0,7
99,99,10workers_rand1,10,1,32,0,8
101,101,10workers_rand1,10,1,33,0,8
104,104,10workers_rand1,10,1,34,1,8
105,105,10workers_rand1,10,1,37,0,5
112,112,10workers_rand1,10,1,40,0,8
114,114,10workers_rand1,10,1,41,0,8
107,107,10workers_rand1,10,1,42,0,6
111,111,10workers_rand1,10,1,47,2,5
118,118,10workers_rand2,10,2,1,0,9
120,120,10workers_rand2,10,2,4,0,10
122,122,10workers_rand2,10,2,7,0,8
124,124,10workers_rand2,10,2,8,0,6
175,175,10workers_rand2,10,2,10,0,9
127,127,10workers_rand2,10,2,15,0,9
129,129,10workers_rand2,10,2,18,0,9
133,133,10workers_rand2,10,2,20,2,5
136,136,10workers_rand2,10,2,21,0,9
138,138,10workers_rand2,10,2,22,0,10
140,140,10workers_rand2,10,2,25,0,5
142,142,10workers_rand2,10,2,26,0,10
144,144,10workers_rand2,10,2,27,0,10
148,148,10workers_rand2,10,2,28,0,9
150,150,10workers_rand2,10,2,29,0,6
154,154,10workers_rand2,10,2,30,1,9
155,155,10workers_rand2,10,2,31,0,9
158,158,10workers_rand2,10,2,32,0,8
160,160,10workers_rand2,10,2,33,0,6
163,163,10workers_rand2,10,2,34,1,9
164,164,10workers_rand2,10,2,37,0,5
171,171,10workers_rand2,10,2,40,0,9
173,173,10workers_rand2,10,2,41,0,5
166,166,10workers_rand2,10,2,42,0,5
170,170,10workers_rand2,10,2,47,2,7
177,177,10workers_rand3,10,3,1,0,9
179,179,10workers_rand3,10,3,4,0,10
182,182,10workers_rand3,10,3,7,1,6
183,183,10workers_rand3,10,3,8,0,5
234,234,10workers_rand3,10,3,10,0,9
186,186,10workers_rand3,10,3,15,0,9
188,188,10workers_rand3,10,3,18,0,9
191,191,10workers_rand3,10,3,20,1,3
195,195,10workers_rand3,10,3,21,0,9
197,197,10workers_rand3,10,3,22,0,9
199,199,10workers_rand3,10,3,25,0,6
201,201,10workers_rand3,10,3,26,0,9
203,203,10workers_rand3,10,3,27,0,9
207,207,10workers_rand3,10,3,28,0,9
209,209,10workers_rand3,10,3,29,0,4
213,213,10workers_rand3,10,3,30,1,10
214,214,10workers_rand3,10,3,31,0,7
217,217,10workers_rand3,10,3,32,0,9
219,219,10workers_rand3,10,3,33,0,8
222,222,10workers_rand3,10,3,34,1,9
223,223,10workers_rand3,10,3,37,0,6
230,230,10workers_rand3,10,3,40,0,7
232,232,10workers_rand3,10,3,41,0,6
225,225,10workers_rand3,10,3,42,0,6
228,228,10workers_rand3,10,3,47,1,4
236,236,10workers_rand4,10,4,1,0,9
238,238,10workers_rand4,10,4,4,0,10
240,240,10workers_rand4,10,4,7,0,5
242,242,10workers_rand4,10,4,8,0,7
