sample,objid,clust,algo,p,r,j,fpr,fnr
25workers_rand0,4,-1,isoGTLSA,0.926440776137,0.969393939394,0.90011254924,0.0835801250411,3.06060606061
25workers_rand0,4,-1,GTLSA,0.926440776137,0.969393939394,0.90011254924,0.0835801250411,3.06060606061
25workers_rand0,4,-1,isoGT,0.909681061248,0.976666666667,0.890331491713,0.105297795327,2.33333333333
25workers_rand0,4,-1,GT,0.909681061248,0.976666666667,0.890331491713,0.105297795327,2.33333333333
25workers_rand0,4,0,isobasic,0.947161835749,0.950606060606,0.90273381295,0.0575847318197,4.93939393939
25workers_rand0,4,0,basic,0.944862910515,0.950303030303,0.900373241459,0.0602171767029,4.9696969697
25workers_rand0,4,0,worker_fraction,0.93727705113,0.955454545455,0.898034747935,0.069430733794,4.45454545455
25workers_rand0,4,0,ground_truth,0.99186746988,0.997878787879,0.989780583108,0.00888450148075,0.212121212121
25workers_rand0,4,0,isoGTLSA,0.946763460375,0.948484848485,0.900460299194,0.0579137874301,5.15151515152
25workers_rand0,4,0,GTLSA,0.946763460375,0.948484848485,0.900460299194,0.0579137874301,5.15151515152
25workers_rand0,4,0,isoGT,0.912957746479,0.982121212121,0.898032696038,0.101678183613,1.78787878788
25workers_rand0,4,0,GT,0.912957746479,0.982121212121,0.898032696038,0.101678183613,1.78787878788
25workers_rand0,5,-1,isobasic,0.96027182436,0.907384539392,0.874553677696,0.0501400292264,9.26154606076
25workers_rand0,5,-1,basic,0.959258291982,0.907137564831,0.873483947681,0.0514595036797,9.28624351692
25workers_rand0,5,-1,worker_fraction,0.956825232678,0.914052852556,0.87784629981,0.0550880584263,8.59471474438
25workers_rand0,5,-1,ground_truth,0.992296222664,0.986169424549,0.978676470588,0.0102259270133,1.38305754507
25workers_rand0,5,-1,isoGTLSA,0.960062646829,0.908372437639,0.875297477392,0.0504698978397,9.16275623611
25workers_rand0,5,-1,GTLSA,0.960062646829,0.908372437639,0.875297477392,0.0504698978397,9.16275623611
25workers_rand0,5,-1,isoGT,0.937761377614,0.941467028896,0.88609948861,0.0834567591728,5.8532971104
25workers_rand0,5,-1,GT,0.937761377614,0.941467028896,0.88609948861,0.0834567591728,5.8532971104
25workers_rand0,6,-1,isobasic,0.920895522388,0.882689556509,0.820478723404,0.0172919501078,11.7310443491
25workers_rand0,6,-1,basic,0.918759231905,0.889842632332,0.824933687003,0.017944476527,11.0157367668
25workers_rand0,6,-1,worker_fraction,0.911849710983,0.902718168813,0.830263157895,0.0199020557845,9.72818311874
