,sample,objid,wid,clust
386,25workers_rand0,30,234,1
387,25workers_rand0,30,131,1
388,25workers_rand0,30,263,0
389,25workers_rand0,30,223,1
390,25workers_rand0,30,226,1
391,25workers_rand0,30,140,1
392,25workers_rand0,30,230,1
393,25workers_rand0,30,199,1
394,25workers_rand0,30,187,1
395,25workers_rand0,30,146,1
396,25workers_rand0,30,114,0
397,25workers_rand0,30,143,1
398,25workers_rand0,30,133,1
399,25workers_rand0,30,239,1
400,25workers_rand0,31,141,0
401,25workers_rand0,31,149,0
402,25workers_rand0,31,146,0
403,25workers_rand0,31,246,0
404,25workers_rand0,31,187,0
405,25workers_rand0,31,260,1
406,25workers_rand0,31,225,0
407,25workers_rand0,31,34,2
408,25workers_rand0,31,235,1
409,25workers_rand0,31,9,0
410,25workers_rand0,31,155,0
411,25workers_rand0,31,193,0
412,25workers_rand0,31,52,0
413,25workers_rand0,31,140,1
414,25workers_rand0,31,175,0
415,25workers_rand0,31,241,0
416,25workers_rand0,31,169,0
417,25workers_rand0,31,161,0
418,25workers_rand0,31,118,1
419,25workers_rand0,31,131,0
420,25workers_rand0,31,116,0
421,25workers_rand0,31,245,0
422,25workers_rand0,31,199,1
423,25workers_rand0,31,234,0
424,25workers_rand0,31,230,0
425,25workers_rand0,32,66,0
426,25workers_rand0,32,239,0
427,25workers_rand0,32,201,0
428,25workers_rand0,32,131,0
429,25workers_rand0,32,89,0
430,25workers_rand0,32,240,1
431,25workers_rand0,32,97,0
432,25workers_rand0,32,225,0
433,25workers_rand0,32,219,0
434,25workers_rand0,32,247,0
435,25workers_rand0,32,116,0
436,25workers_rand0,32,175,0
437,25workers_rand0,32,169,0
438,25workers_rand0,32,140,1
439,25workers_rand0,32,146,0
440,25workers_rand0,32,230,1
441,25workers_rand0,32,156,0
442,25workers_rand0,32,133,0
443,25workers_rand0,32,76,1
444,25workers_rand0,32,148,0
445,25workers_rand0,32,114,0
446,25workers_rand0,32,235,0
447,25workers_rand0,32,218,0
448,25workers_rand0,32,234,0
449,25workers_rand0,32,166,1
450,25workers_rand0,33,139,0
451,25workers_rand0,33,147,1
452,25workers_rand0,33,148,0
453,25workers_rand0,33,239,0
454,25workers_rand0,33,184,1
455,25workers_rand0,33,263,1
456,25workers_rand0,33,192,0
457,25workers_rand0,33,72,1
458,25workers_rand0,33,230,0
459,25workers_rand0,33,205,1
460,25workers_rand0,33,156,0
461,25workers_rand0,33,209,0
462,25workers_rand0,33,187,0
463,25workers_rand0,33,131,0
464,25workers_rand0,33,193,0
465,25workers_rand0,33,234,0
466,25workers_rand0,33,199,1
467,25workers_rand0,33,169,0
468,25workers_rand0,33,116,0
469,25workers_rand0,33,146,0
470,25workers_rand0,33,114,1
471,25workers_rand0,33,235,0
472,25workers_rand0,33,196,0
473,25workers_rand0,33,225,0
474,25workers_rand0,33,228,1
475,25workers_rand0,34,9,0
476,25workers_rand0,34,235,1
477,25workers_rand0,34,218,1
478,25workers_rand0,34,147,0
479,25workers_rand0,34,260,0
480,25workers_rand0,34,114,1
481,25workers_rand0,34,200,1
482,25workers_rand0,34,228,1
483,25workers_rand0,34,225,1
484,25workers_rand0,34,197,1
485,25workers_rand0,34,133,1
486,25workers_rand0,34,230,1
487,25workers_rand0,34,208,1
488,25workers_rand0,34,156,1
489,25workers_rand0,34,199,1
490,25workers_rand0,34,192,1
491,25workers_rand0,34,151,1
492,25workers_rand0,34,131,1
493,25workers_rand0,34,184,1
494,25workers_rand0,34,214,1
495,25workers_rand0,34,135,1
496,25workers_rand0,34,148,1
497,25workers_rand0,34,209,1
498,25workers_rand0,34,193,1
499,25workers_rand0,34,143,1
500,25workers_rand0,37,230,0
501,25workers_rand0,37,214,0
502,25workers_rand0,37,114,0
503,25workers_rand0,37,193,0
504,25workers_rand0,37,211,0
505,25workers_rand0,37,182,1
506,25workers_rand0,37,82,0
507,25workers_rand0,37,219,1
508,25workers_rand0,37,184,0
509,25workers_rand0,37,234,0
510,25workers_rand0,37,143,1
511,25workers_rand0,37,133,0
512,25workers_rand0,37,140,0
513,25workers_rand0,37,260,0
514,25workers_rand0,37,208,0
515,25workers_rand0,37,209,1
516,25workers_rand0,37,147,0
517,25workers_rand0,37,246,1
518,25workers_rand0,37,241,0
519,25workers_rand0,37,148,1
520,25workers_rand0,37,247,1
521,25workers_rand0,37,239,0
522,25workers_rand0,37,201,1
523,25workers_rand0,37,146,0
524,25workers_rand0,37,68,0
525,25workers_rand0,40,68,1
526,25workers_rand0,40,147,1
527,25workers_rand0,40,136,0
528,25workers_rand0,40,246,0
529,25workers_rand0,40,156,0
530,25workers_rand0,40,262,0
531,25workers_rand0,40,219,1
532,25workers_rand0,40,92,0
533,25workers_rand0,40,234,0
534,25workers_rand0,40,184,0
535,25workers_rand0,40,52,0
536,25workers_rand0,40,193,1
537,25workers_rand0,40,159,0
538,25workers_rand0,40,131,1
539,25workers_rand0,40,187,0
540,25workers_rand0,40,235,0
541,25workers_rand0,40,175,0
542,25workers_rand0,40,161,0
543,25workers_rand0,40,9,0
544,25workers_rand0,40,141,0
545,25workers_rand0,40,63,0
546,25workers_rand0,40,214,0
547,25workers_rand0,40,169,0
548,25workers_rand0,40,225,0
549,25workers_rand0,40,230,0
550,25workers_rand0,41,208,0
551,25workers_rand0,41,239,0
552,25workers_rand0,41,225,0
553,25workers_rand0,41,145,0
554,25workers_rand0,41,260,1
555,25workers_rand0,41,103,0
556,25workers_rand0,41,169,0
557,25workers_rand0,41,235,0
558,25workers_rand0,41,230,0
559,25workers_rand0,41,250,1
560,25workers_rand0,41,133,0
561,25workers_rand0,41,240,1
562,25workers_rand0,41,214,0
563,25workers_rand0,41,156,0
564,25workers_rand0,41,213,0
565,25workers_rand0,41,181,0
566,25workers_rand0,41,147,1
567,25workers_rand0,41,118,1
568,25workers_rand0,41,209,0
569,25workers_rand0,41,215,0
570,25workers_rand0,41,219,0
571,25workers_rand0,41,141,0
572,25workers_rand0,41,135,1
573,25workers_rand0,41,9,0
574,25workers_rand0,41,140,1
575,25workers_rand0,42,135,0
576,25workers_rand0,42,137,0
577,25workers_rand0,42,148,0
578,25workers_rand0,42,239,0
579,25workers_rand0,42,169,1
580,25workers_rand0,42,256,1
581,25workers_rand0,42,218,1
582,25workers_rand0,42,75,1
583,25workers_rand0,42,228,0
584,25workers_rand0,42,184,0
585,25workers_rand0,42,159,0
586,25workers_rand0,42,199,0
587,25workers_rand0,42,181,1
588,25workers_rand0,42,131,0
589,25workers_rand0,42,156,0
590,25workers_rand0,42,230,1
591,25workers_rand0,42,193,1
592,25workers_rand0,42,176,0
593,25workers_rand0,42,133,1
594,25workers_rand0,42,147,0
595,25workers_rand0,42,68,1
596,25workers_rand0,42,234,0
597,25workers_rand0,42,201,1
598,25workers_rand0,42,192,0
599,25workers_rand0,42,223,1
600,25workers_rand0,47,146,0
601,25workers_rand0,47,181,2
602,25workers_rand0,47,156,1
603,25workers_rand0,47,246,2
604,25workers_rand0,47,206,2
605,25workers_rand0,47,263,2
606,25workers_rand0,47,220,0
607,25workers_rand0,47,115,0
608,25workers_rand0,47,234,1
609,25workers_rand0,47,211,1
610,25workers_rand0,47,9,0
611,25workers_rand0,47,209,1
612,25workers_rand0,47,196,2
613,25workers_rand0,47,147,1
614,25workers_rand0,47,199,2
615,25workers_rand0,47,235,2
616,25workers_rand0,47,208,2
617,25workers_rand0,47,169,0
618,25workers_rand0,47,126,2
619,25workers_rand0,47,148,2
620,25workers_rand0,47,116,2
621,25workers_rand0,47,241,1
622,25workers_rand0,47,82,2
623,25workers_rand0,47,192,0
624,25workers_rand0,47,230,1
625,5workers_rand8,1,248,0
626,5workers_rand8,1,181,0
627,5workers_rand8,1,131,0
628,5workers_rand8,1,52,0
629,5workers_rand8,1,184,0
630,5workers_rand8,4,148,0
631,5workers_rand8,4,169,0
632,5workers_rand8,4,219,0
633,5workers_rand8,4,187,0
634,5workers_rand8,4,209,0
635,5workers_rand8,7,116,0
636,5workers_rand8,7,161,0
637,5workers_rand8,7,218,0
638,5workers_rand8,7,156,0
639,5workers_rand8,7,192,0
640,5workers_rand8,8,193,0
641,5workers_rand8,8,209,0
642,5workers_rand8,8,196,0
643,5workers_rand8,8,25,1
644,5workers_rand8,8,131,0
645,5workers_rand8,10,161,0
646,5workers_rand8,10,135,0
647,5workers_rand8,10,147,1
648,5workers_rand8,10,219,0
649,5workers_rand8,10,223,0
650,5workers_rand8,20,81,2
651,5workers_rand8,20,192,1
652,5workers_rand8,20,82,0
653,5workers_rand8,20,193,2
654,5workers_rand8,20,212,3
655,5workers_rand8,15,142,0
656,5workers_rand8,15,60,0
657,5workers_rand8,15,129,0
658,5workers_rand8,15,175,0
659,5workers_rand8,15,219,0
660,5workers_rand8,18,172,0
661,5workers_rand8,18,199,0
662,5workers_rand8,18,211,0
663,5workers_rand8,18,114,0
664,5workers_rand8,18,208,0
665,5workers_rand8,21,178,1
666,5workers_rand8,21,201,0
667,5workers_rand8,21,214,0
668,5workers_rand8,21,169,0
669,5workers_rand8,21,116,0
670,5workers_rand8,22,174,1
671,5workers_rand8,22,198,0
672,5workers_rand8,22,210,0
673,5workers_rand8,22,193,0
674,5workers_rand8,22,207,0
675,5workers_rand8,25,143,0
676,5workers_rand8,25,201,1
677,5workers_rand8,25,234,0
678,5workers_rand8,25,184,1
679,5workers_rand8,25,82,1
680,5workers_rand8,26,131,0
681,5workers_rand8,26,148,0
682,5workers_rand8,26,175,0
683,5workers_rand8,26,198,1
684,5workers_rand8,26,169,0
685,5workers_rand8,27,136,2
686,5workers_rand8,27,52,0
687,5workers_rand8,27,218,0
688,5workers_rand8,27,148,0
689,5workers_rand8,27,156,0
690,5workers_rand8,28,271,0
691,5workers_rand8,28,201,0
692,5workers_rand8,28,148,0
693,5workers_rand8,28,156,0
694,5workers_rand8,28,212,0
695,5workers_rand8,29,133,1
696,5workers_rand8,29,146,1
697,5workers_rand8,29,187,0
698,5workers_rand8,29,82,2
699,5workers_rand8,29,239,0
700,5workers_rand8,30,175,1
